p_k,country_id,ext_int,imp_exp,month,trade_value
98,IT,WORLD,IMPORT,d2021_01,32395873989
99,IT,WORLD,EXPORT,d2021_01,33919633176
100,LT,EXTRA,IMPORT,d2021_01,626742733
101,LT,EXTRA,EXPORT,d2021_01,963630611
102,LT,INTRA,IMPORT,d2021_01,1589412686
103,LT,INTRA,EXPORT,d2021_01,1311348219
104,LT,WORLD,IMPORT,d2021_01,2216155419
105,LT,WORLD,EXPORT,d2021_01,2274978830
106,LU,EXTRA,IMPORT,d2021_01,192209425
107,LU,EXTRA,EXPORT,d2021_01,180314960
108,LU,INTRA,IMPORT,d2021_01,1323712030
109,LU,INTRA,EXPORT,d2021_01,829985158
110,LU,WORLD,IMPORT,d2021_01,1515921455
111,LU,WORLD,EXPORT,d2021_01,1010300118
112,LV,EXTRA,IMPORT,d2021_01,305543153
113,LV,EXTRA,EXPORT,d2021_01,392202098
114,LV,INTRA,IMPORT,d2021_01,909971221
115,LV,INTRA,EXPORT,d2021_01,721003423
116,LV,WORLD,IMPORT,d2021_01,1215514374
117,LV,WORLD,EXPORT,d2021_01,1113205521
118,MT,EXTRA,IMPORT,d2021_01,89302054
119,MT,EXTRA,EXPORT,d2021_01,84153350
120,MT,INTRA,IMPORT,d2021_01,252993239
121,MT,INTRA,EXPORT,d2021_01,141363897
122,MT,WORLD,IMPORT,d2021_01,342295293
123,MT,WORLD,EXPORT,d2021_01,225517247
124,NL,EXTRA,IMPORT,d2021_01,25570173655
125,NL,EXTRA,EXPORT,d2021_01,15034973677
126,NL,INTRA,IMPORT,d2021_01,18237193937
127,NL,INTRA,EXPORT,d2021_01,34891441404
128,NL,WORLD,IMPORT,d2021_01,43807367592
129,NL,WORLD,EXPORT,d2021_01,49926415081
130,PL,EXTRA,IMPORT,d2021_01,5895233853
131,PL,EXTRA,EXPORT,d2021_01,4632707275
132,PL,INTRA,IMPORT,d2021_01,13364137911
133,PL,INTRA,EXPORT,d2021_01,15859695529
134,PL,WORLD,IMPORT,d2021_01,19259371764
135,PL,WORLD,EXPORT,d2021_01,20492402804
136,PT,EXTRA,IMPORT,d2021_01,1324183706
137,PT,EXTRA,EXPORT,d2021_01,1191810285
138,PT,INTRA,IMPORT,d2021_01,4224096972
139,PT,INTRA,EXPORT,d2021_01,3423759855
140,PT,WORLD,IMPORT,d2021_01,5548280678
141,PT,WORLD,EXPORT,d2021_01,4615570140
142,RO,EXTRA,IMPORT,d2021_01,1679721921
143,RO,EXTRA,EXPORT,d2021_01,1264302310
144,RO,INTRA,IMPORT,d2021_01,4908516395
145,RO,INTRA,EXPORT,d2021_01,4092474955
146,RO,WORLD,IMPORT,d2021_01,6588238316
147,RO,WORLD,EXPORT,d2021_01,5356777265
148,SE,EXTRA,IMPORT,d2021_01,3467270211
149,SE,EXTRA,EXPORT,d2021_01,5048319517
150,SE,INTRA,IMPORT,d2021_01,7438295066
151,SE,INTRA,EXPORT,d2021_01,6253311103
152,SE,WORLD,IMPORT,d2021_01,10905565277
153,SE,WORLD,EXPORT,d2021_01,11301630620
154,SI,EXTRA,IMPORT,d2021_01,1268976014
